"","city","city_ascii","lat","lng","pop","country","iso2","iso3","province"
"2070","Yopal","Yopal",5.346999095,-72.4059986,61029,"Colombia","CO","COL","Casanare"
"2071","San Andres","San Andres",12.56213711,-81.69032658,58257,"Colombia","CO","COL",""
"2072","Sonson","Sonson",5.716613585,-75.31662785,18024.5,"Colombia","CO","COL","Antioquia"
"2073","Sogamoso","Sogamoso",5.719998392,-72.94000289,120071.5,"Colombia","CO","COL","Boyacá"
"2074","Barrancabermeja","Barrancabermeja",7.089992288,-73.84999903,177802,"Colombia","CO","COL","Santander"
"2075","Girardot","Girardot",4.310006937,-74.80999211,121830.5,"Colombia","CO","COL","Cundinamarca"
"2076","Campoalegre","Campoalegre",2.690002461,-75.33001205,17058.5,"Colombia","CO","COL","Huila"
"2077","Tuquerres","Tuquerres",1.089996764,-77.61994979,27081.5,"Colombia","CO","COL","Nariño"
"2078","Mocoa","Mocoa",1.149993102,-76.62998438,22035,"Colombia","CO","COL","Putumayo"
"2079","Cartago","Cartago",4.749980081,-75.91002832,123170,"Colombia","CO","COL","Valle del Cauca"
"2080","Soledad","Soledad",10.92001691,-74.76999455,520704,"Colombia","CO","COL","Atlántico"
"2081","Sabanalarga","Sabanalarga",10.63998232,-74.91998539,65781,"Colombia","CO","COL","Atlántico"
"2082","Arjona","Arjona",10.26003135,-75.34998499,47225,"Colombia","CO","COL","Bolívar"
"2083","Magangue","Magangue",9.229990864,-74.74002222,94912,"Colombia","CO","COL","Bolívar"
"2084","Valledupar","Valledupar",10.47999208,-73.25000981,297627.5,"Colombia","CO","COL","Cesar"
"2085","San Jose del Guaviare","San Jose del Guaviare",2.569983947,-72.63999536,21675,"Colombia","CO","COL","Meta"
"2086","Puerto Lopez","Puerto Lopez",4.089994526,-72.96002751,12163.5,"Colombia","CO","COL","Meta"
"2087","Yarumal","Yarumal",7.030590229,-75.5904871,35315,"Colombia","CO","COL","Antioquia"
"2088","Puerto Berrio","Puerto Berrio",6.480442931,-74.42001591,33194,"Colombia","CO","COL","Antioquia"
