"","Country","City","AccentCity","Region","Population","Latitude","Longitude"
"658241","co","20 de julio","20 de Julio","34",NA,4.576244,-74.089281
"658242","co","20 de junio","20 de Junio","21",NA,8.040556,-72.6225
"658243","co","4 esquinas","4 Esquinas","20",NA,1.114268,-77.433143
"658244","co","abarca","Abarca","38",NA,10.766667,-74.166667
"658245","co","abejero","Abejero","24",NA,5.157098,-75.906734
"658246","co","abejorral","Abejorral","02",7360,5.789281,-75.427252
"658247","co","abisinia","Abisinia","01",NA,-1.383333,-72.2
"658248","co","abra","Abra","17",NA,11.30987,-72.899242
"658249","co","abrahan asprilla","Abrahán Asprilla","11",NA,5,-77.166667
"658250","co","abras","Abras","17",NA,11.30987,-72.899242
"658251","co","a bravo","A Bravo","02",NA,8.611342,-76.443971
"658252","co","abre el ojo","Abre El Ojo","17",NA,10.928333,-72.6675
"658253","co","abrego","Abrego","09",NA,2.366667,-76.716667
"658254","co","abrego","Ábrego","21",10823,8.080647,-73.220543
"658255","co","abrego numero dos","Abrego Número Dos","29",NA,4.224671,-75.951616
"658256","co","abriaqui","Abriaquí","02",1281,6.631477,-76.064437
"658257","co","abriojo","Abriojo","02",NA,6.916667,-75.831389
"658258","co","abuyama","Abuyama","03",NA,6.876111,-70.585833
"658259","co","acacias","Acacías","19",40628,3.986946,-73.757971
"658260","co","acala","Acalá","29",NA,4.674722,-75.7825
"658261","co","acandi","Acandí","11",4840,8.506334,-77.277839
"658262","co","acanti","Acanti","11",NA,8.506334,-77.277839
"658263","co","acapulco","Acapulco","03",NA,6.475564,-71.712911
"658264","co","acapulco","Acapulco","08",NA,1.606259,-75.639021
"658265","co","acapulco","Acapulco","19",NA,4.410315,-72.253385
"658266","co","acapulco","Acapulco","32",NA,5.062206,-72.27071
"658267","co","acapulco","Acapulco","37",NA,5.39739,-74.862092
"658268","co","acaricuara","Acaricuará","30",430,0.7,-70.233333
"658269","co","acayali","Acayali","08",NA,1.067501,-73.37824
"658270","co","aceite","Aceite","17",NA,12.093792,-71.50466
"658271","co","aceituno","Aceituno","28",NA,3.9175,-75.18
"658272","co","acequia","Acequía","29",NA,3.6375,-76.401111
"658273","co","acevedo","Acevedo","09",NA,1.754223,-76.888115
"658274","co","acevedo","Acevedo","16",4451,1.836055,-75.854985
"658275","co","acevedo y gomez","Acevedo y Gómez","28",NA,3.68,-75.064722
"658276","co","achi","Achí","35",8434,8.568178,-74.554052
"658277","co","achiote","Achiote","33",NA,5.50523,-74.354871
"658278","co","achotal","Achotal","04",NA,10.7,-74.85
"658279","co","achotal","Achotal","20",NA,1.483333,-78.716667
"658280","co","achupallas","Achupallas","20",NA,1.699642,-76.99008
"658281","co","aco","Aco","28",NA,3.747222,-74.813889
"658282","co","acon","Acón","20",NA,1.533333,-78.9
"658283","co","aco nuevo","Aco Nuevo","28",NA,3.74871,-74.81118
"658284","co","acordeon","Acordeón","38",NA,9.523956,-74.414047
"658285","co","acoso","Acosó","11",NA,5.096564,-76.561818
"658286","co","acosta","Acosta","12",NA,8.561133,-75.545597
"658287","co","acuapal","Acuapal","33",NA,5.422459,-74.50783
